,Company_name,Description,Price
218,Vacheron Constantin,"Vacheron Constantin Fifty Six Complete Calendar (Reference 4000E/000A-B548). A stainless steel automatic wristwatch with day, date, month, and moonphase. 2018","23,200 USD"
219,Vacheron Constantin,Vacheron Constantin Patrimony (Reference 4100U/000R-B643). A rose gold automatic wristwatch with date.,"20,000 USD"
220,Vacheron Constantin,Vacheron Constantin Traditionnelle (Reference 33558/000G-9394). A white gold diamond set manual wind wristwatch.,"27,300 USD"
221,Vacheron Constantin,Vacheron Constantin Overseas (Reference 47560/D01R-9672). A rose gold diamond set automatic wristwatch with date. 2017,"32,300 USD"
222,Vacheron Constantin,Vacheron Constantin Traditionnelle (Reference 47192/000R-9352). A rose gold manual wind wristwatch with chronograph.,"29,200 USD"
223,Rolex,Rolex President Day-Date (Reference 228206). A platinum diamond set automatic wristwatch with day and date. 2017,"70,300 USD"
224,Rolex,Rolex President Day-Date (Reference 18308). A yellow gold diamond set automatic wristwatch with day and date. 1995-1996,"22,000 USD"
225,Rolex,Rolex Pearlmaster (Reference 80299). A white gold diamond set automatic wristwatch with date. 2001-2002,"21,200 USD"
226,Cartier,Cartier Baignoire (Reference WB520002). A rose gold diamond-set quartz wristwatch. 2014,"23,100 USD"
227,Cartier,Cartier Santos (Reference WGSA0018). A rose gold automatic wristwatch with date. 2019,"29,000 USD"
228,Cartier,Cartier Tank Americaine (Reference WB7045L1). A white gold diamond-set automatic wristwatch with date.,"21,300 USD"
229,Patek Philippe,Patek Philippe Calatrava (Reference 5120/1J). A yellow gold automatic wristwatch.,"22,100 USD"
230,Patek Philippe,Patek Philippe Complications (Reference 5070J-001). A yellow gold manual wind wristwatch with chronograph.,"74,000 USD"
231,Patek Philippe,Patek Philippe Gondolo (Reference 5100G-001). A white gold manual wind wristwatch with 10 day power reserve.,"38,400 USD"
232,Patek Philippe,Patek Philippe World Time (Reference 5230R-012). A rose gold automatic wristwatch. 2020,"40,300 USD"
233,Patek Philippe,Patek Philippe Nautilus (Reference 3900/1J-001). A stainless steel quartz wristwatch with date.,"31,400 USD"
234,Patek Philippe,Patek Philippe Aquanaut (Reference 5968G-010). A white gold automatic wristwatch with date and chronograph. 2023,"129,600 USD"
235,Patek Philippe,Patek Philippe World Time (Reference 5230G-001). A white gold automatic wristwatch. 2018,"37,300 USD"
236,Patek Philippe,Patek Philippe Calatrava (Reference 5127R-001). A rose gold automatic wristwatch with date.,"23,200 USD"
237,Patek Philippe,Patek Philippe Calatrava (Reference 5127R-001). A rose gold automatic wristwatch with date. 2006,"24,100 USD"
238,Patek Philippe,"Patek Philippe Grand Complications (Reference 5139G-001). A white gold automatic wristwatch with day, date, month, moon phase, leap year and perpetual calendar.","42,800 USD"
239,Patek Philippe,Patek Philippe Calatrava (Reference 5026P). A platinum automatic wristwatch.,"28,500 USD"
240,,,
241,Patek Philippe,Patek Philippe Calatrava (Reference 5108G-010). A white gold diamond-set automatic wristwatch with date. 2010,"30,500 USD"
242,Patek Philippe,Patek Philippe Calatrava (Reference 5196P-001). A platinum manual wind wristwatch.,"32,500 USD"
243,Patek Philippe,Patek Philippe Calatrava (Reference 4978/400G-001). A white gold diamond-set and sapphire crystal automatic wristwatch.,"59,100 USD"
244,Rolex,Rolex Pearlmaster (Reference 69298). A yellow gold diamond-set automatic wristwatch with date. 1995-1996,"21,800 USD"
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,Rolex,Rolex President Day-Date (Reference 1803). A rose gold automatic wristwatch with day and date. 1967-1968,"21,300 USD"
252,Rolex,Rolex Cosmograph Daytona (Reference 116523). A yellow gold stainless steel automatic wristwatch with chronograph. 2014,"20,100 USD"
253,Rolex,"Rolex Sky-Dweller (Reference 326135). A rose gold automatic wristwatch with date, dual time zones and annual calendar. 2020","31,100 USD"
254,Rolex,Rolex GMT-Master II Blue Red Pepsi (Reference 126710). A stainless steel automatic wristwatch with date. 2019,"23,100 USD"
255,Rolex,Rolex President Day-Date (Reference 228345). A rose gold diamond-set automatic wristwatch with day and date.,"58,800 USD"
256,Rolex,Rolex President Day-Date (Reference 18238). A yellow gold diamond-set automatic wristwatch with day and date. 1989-1990,"21,100 USD"
257,Rolex,Rolex President Datejust (Reference 78266). A platinum diamond-set automatic wristwatch with date. 2000-2001,"32,300 USD"
258,Rolex,Rolex President Day-Date (Reference 128235). A rose gold diamond-set automatic wristwatch with day and date. 2022,"44,400 USD"
259,Rolex,Rolex President Day-Date (Reference 228398). An unworn yellow gold diamond-set automatic wristwatch with day and date. 2023,"88,300 USD"
260,Rolex,Rolex Submariner Hulk (Reference 116610LV). A stainless steel automatic wristwatch with date. 2014,"20,300 USD"
261,Rolex,Rolex President Day-Date (Reference 228396). An unworn platinum diamond-set Meteorite automatic wristwatch with day and date. 2020 ,"130,400 USD"
262,Rolex,Rolex Cellini (Reference 50535). A rose gold automatic wristwatch with date and moonphase. 2017,"25,200 USD"
263,Rolex,Rolex GMT-Master II Pepsi (Reference 126710). A stainless steel automatic wristwatch with date. 2018,"22,200 USD"
264,Rolex,Rolex President Day-Date (Reference 18206). A platinum diamond-set automatic wristwatch with day and date. 1999,"37,700 USD"
265,Rolex,Rolex President Day-Date (Reference 118239). A white gold automatic wristwatch with day and date. 1989-1990,"21,800 USD"
266,Rolex,Rolex President Day-Date (Reference 18239). A white gold diamond-set automatic wristwatch with day and date. 1999,"25,000 USD"
267,Rolex,Rolex President Day-Date (Reference 18388). A yellow gold diamond-set automatic wristwatch with day and date. 1995-1996,"27,300 USD"
268,Rolex,Rolex President Day-Date (Reference 118238). A yellow gold diamond-set automatic wristwatch with day and date. 2002-2003,"25,000 USD"
269,Patek Philippe,Patek Philippe Calatrava (Reference 6000R-001). A rose gold automatic wristwatch with date.,"24,400 USD"
270,Patek Philippe,Patek Philippe Calatrava Officier (Reference 3960). A yellow gold manual wristwatch. 1989,"21,000 USD"
271,Patek Philippe,Patek Philippe Calatrava (Reference 5296R-010). A rose gold automatic wristwatch with date.,"22,000 USD"
272,Rolex,Rolex Cosmograph Daytona (Reference 116500LN). A stainless steel automatic wristwatch with chronograph. 2019,"29,500 USD"
273,Rolex,Rolex President Day-Date (Reference 118239). A white gold automatic wristwatch with day and date. 2000-2001,"22,000 USD"
274,Rolex,Rolex Cosmograph Daytona (Reference 116515). A rose gold automatic wristwatch with chronograph. 2019,"38,500 USD"
275,Rolex,Rolex Cosmograph Daytona (Reference 116503). A yellow gold stainless steel automatic wristwatch with chronograph. 2021,"22,400 USD"
276,Rolex,Rolex President Day-Date (Reference 118205). A rose gold automatic wristwatch with day and date. 2000-2001,"23,200 USD"
277,Rolex,Rolex President Day-Date (Reference 228349). A white gold diamond-set automatic wristwatch with day and date. 2021,"52,700 USD"
278,Audemars Piguet,"Audemars Piguet Royal Oak (Reference 26120ST.OO.1220ST.03). A stainless steel automatic wristwatch with date, dual time zone, day/night indicator and power reserve. 2012","33,600 USD"
279,Piaget,Piaget Polo S Limited Edition 569/888 (Reference G0A42001). A stainless steel automatic wristwatch with date. 2018,"8,500 USD"
280,Rolex,Rolex President Day-Date (Reference 118239). A white gold diamond-set automatic wristwatch with day and date. 2000-2001,"22,400 USD"
281,Rolex,Rolex President Day-Date (Reference 118206). A platinum diamond-set automatic wristwatch with day and date. 2004,"44,500 USD"
282,Rolex,Rolex Datejust (Reference 126284). A stainless steel diamond-set automatic wristwatch with date. 2020,"22,100 USD"
283,Cartier,Cartier Santos Dumont Le Bresil Limited Edition (Reference WSSA0046). A platinum manual wristwatch. 2020,"25,000 USD"
284,Cartier,Cartier Tank a Vis Privee CPCP Collection (Reference W1529451). A yellow gold manual wristwatch. 2004,"20,300 USD"
285,Cartier,Cartier Santos (Reference WJSA0008). A yellow gold diamond-set automatic wristwatch. 2020,"21,000 USD"
286,Audemars Piguet,Audemars Piguet Royal Oak (Reference 15400SR). A rose gold stainless steel automatic wristwatch with date.,"38,400 USD"
287,Audemars Piguet,Audemars Piguet Jules Titanium Platinum 6th Day Schwarzenegger Limited 50 (Reference 25949IP.0.0001KE.01). A titanium automatic wristwatch with chronograph.,"22,100 USD"
288,Patek Philippe,Patek Philippe Calatrava (Reference 6000R-001). A rose gold automatic wristwatch with date. 2014,"25,400 USD"
289,Patek Philippe,"Patek Philippe Complications (Reference 5396G). A white gold automatic wristwatch with day, date, month, moonphase and annual calendar.","33,100 USD"
290,Patek Philippe,Patek Philippe Pagoda (Reference 5500J). A yellow gold manual wristwatch.,"21,000 USD"
291,Patek Philippe,Patek Philippe Calatrava (Reference 5127G-001). A white gold automatic wristwatch with date. 2012,"26,400 USD"
292,Patek Philippe,Patek Philippe Calatrava (Reference 4897R-001). A rose gold diamond-set manual wristwatch. 2014,"22,100 USD"
293,Patek Philippe,Patek Philippe Calatrava (Reference 5227J). A yellow gold automatic wristwatch with date.,"29,300 USD"
294,Rolex,Rolex Cosmograph Daytona (Reference 116520). A stainless steel automatic wristwatch with chronograph. 2009-2010,"22,000 USD"
295,Rolex,Rolex Yacht-Master (Reference 16628). A yellow gold automatic wristwatch with date. 1995-1996,"23,300 USD"
296,Rolex,Rolex President Datejust Anniversary (Reference 179136). A platinum diamond-set automatic wristwatch with date. 2001-2002,"25,200 USD"
297,Rolex,Rolex President Datejust (Reference 179158). A yellow gold diamond-set automatic wristwatch with date. 2006,"21,700 USD"
298,Rolex,Rolex President Datejust Myriad (Reference 78266). A platinum diamond-set automatic wristwatch with date. 2000-2001,"38,500 USD"
299,Rolex,Rolex Datejust (Reference 126281). An unworn rose gold and stainless diamond-set automatic wristwatch with date. ,"25,100 USD"
300,Rolex,Rolex President Datejust Myriad (Reference 68266). A platinum diamond-set automatic wristwatch with date. 1993-1994,"38,400 USD"
301,,,
302,Jaeger-LeCoultre,"Jaeger-LeCoultre Reverso Tribute Duoface (Reference Q3912420). A rose gold manual wind wristwatch with date, day, month and moonphase. 2017","22,800 USD"
303,Patek Philippe,Patek Philippe Calatrava (Reference 5032J). A yellow gold automatic wristwatch.,"21,500 USD"
304,Rolex,Rolex Daytona (Reference 116509). A white gold automatic wristwatch with chronograph.,"40,000 USD"
305,Rolex,Rolex GMT-Master II Root Beer (Reference 126711CHNR). A rose gold and stainless steel automatic wristwatch with date.,"22,000 USD"
306,Vacheron Constantin,Vacheron Constantin Overseas Deep Stream (Reference 49150/000W-9501). A stainless steel automatic wristwatch with date and chronograph.,"19,700 USD"
307,Rolex,Rolex President Day-Date Tridor (Reference 18349). A tricolor gold diamond-set automatic wristwatch with date and day. 1989-1990,"20,700 USD"
308,Rolex,Rolex President Day-Date (Reference 118209). A white gold automatic wristwatch with date and day. 2000-2001.,"21,400 USD"
309,Vacheron Constantin,"Vacheron Constantin Overseas (Reference 47450/B01A-9226). A stainless steel automatic wristwatch with date, power reserve, day/night indicator and dual time. 2009","21,800 USD"
310,Rolex,Rolex GMT Master II Pepsi (Reference 126710). A stainless steel automatic wristwatch with date.,"21,800 USD"
311,Rolex,Rolex President Day-Date (Reference 18348). A yellow gold diamond-set automatic wristwatch with day and date. 1990-1991,"21,800 USD"
312,Rolex,Rolex President Day-Date (Reference 18038). A yellow gold diamond set automatic wristwatch with day and date. 1983-1984,"21,800 USD"
313,Rolex,Rolex President Day-Date (Reference 18248). A yellow gold diamond-set automatic wristwatch with date and day. 1987-1988,"21,800 USD"
314,Rolex,Rolex President Day-Date (Reference 118209). A white gold automatic wristwatch with date and day. 2002-2003,"21,800 USD"
315,Rolex,Rolex President Day-Date (Reference 18238). A yellow gold diamond set automatic wristwatch with date and day. 1989-1990,"21,800 USD"
316,Jaeger-LeCoultre,Jaeger-LeCoultre Reverso Art Deco (Reference 270.2.62). A rose gold manual wind wristwatch.,"21,800 USD"
317,Rolex,Rolex President Day-Date Tridor (Reference 18129). A yellow gold and stainless steel diamond-set automatic wristwatch with date and day. 1985-1986,"22,800 USD"
318,Rolex,Rolex Datejust (Reference 116135). A rose gold diamond-set automatic wristwatch with date.,"22,800 USD"
319,IWC,"IWC Portuguese (Reference IW502307). A white gold automatic wristwatch with date, day, month, moonphase, 7 days power reserve and perpetual calendar. 2017","22,800 USD"
320,Rolex,Rolex Yacht-Master II (Reference 116681). A rose gold and stainless steel automatic wristwatch with date. 2009-2010,"24,600 USD"
321,Rolex,Rolex President Day-Date (Reference 18238). A yellow gold diamond- and emerald-set automatic wristwatch with date and day. 1995-1996,"24,900 USD"
322,Rolex,Rolex President Datejust (Reference 68278). A yellow gold diamond-set automatic wristwatch with date. 1989-1990,"24,900 USD"
323,Rolex,Rolex Submariner Kermit (Reference 16610LV). A stainless steel automatic wristwatch with date. 2003-2004,"22,500 USD"
324,Rolex,Rolex Yachtmaster II (Reference 116681). A rose gold and stainless steel automatic wristwatch with chronograph. 2012,"25,100 USD"
325,Rolex,Rolex Yacht-Master II (Reference 116681). A rose gold and stainless steel automatic wristwatch with chronograph. 2012,"25,300 USD"
326,Rolex,Rolex Yacht-Master II (Reference 116681). A rose gold and stainless steel automatic wristwatch with chronograph.,"25,600 USD"
327,Rolex,Rolex President Day-Date (Reference 18388). A yellow gold diamond-set automatic wristwatch with date and day. 1986-1987,"26,000 USD"
328,Patek Philippe,Patek Philippe Gondolo (Reference 5025G). A white gold diamond-set manual wind wristwatch.,"26,000 USD"
329,Audemars Piguet,Audemars Piguet Royal Oak (Reference 15000ST.OO.0789ST.05). A stainless steel automatic wristwatch with date.,"26,000 USD"
330,Vacheron Constantin,Vacheron Constantin Overseas (Reference 47560/000R-9672). A rose gold diamond-set automatic wristwatch with date. 2018,"25,500 USD"
331,Rolex,Rolex Datejust (Reference 126281). A rose gold and stainless steel diamond-set automatic wristwatch with date. 2022,"26,800 USD"
332,Rolex,Rolex President Day-Date (Reference 18346). A platinum diamond-set automatic wristwatch with date and day. 1995-1996,"27,000 USD"
333,Jaeger-LeCoultre,Jaeger-LeCoultre Duometre (Reference Q6012420). A rose gold manual wind wristwatch with chronograph and power reserve.,"25,300 USD"
334,Vacheron Constantin,"Vacheron Constantin Overseas (Reference 47450/000A.9039). A stainless steel automatic wristwatch with date, dual time, day/night indicator and power reserve. ","28,800 USD"
335,Jaeger-LeCoultre,"Jaeger-LeCoultre Reverso Septantieme Limited Edition (Reference Q3002420). A rose gold manual wristwatch with date, moonphase, and power reserve.","28,800 USD"
336,Vacheron Constantin,Vacheron Constantin Overseas (Reference 4500V/110A-B126). An unworn stainless steel automatic wristwatch with date. 2019.,"25,200 USD"
337,Jaeger-LeCoultre,"Jaeger-LeCoultre Duometre Quantieme Lunaire (Reference Q6042421). A rose gold manual wind wristwatch with date, moonphase and twin power reserves.","28,100 USD"
338,Vacheron Constantin,Vacheron Constantin Overseas (Reference 4500V/110A-B126). An unworn stainless steel automatic wristwatch with date. 2021.,"29,400 USD"
339,Vacheron Constantin,Vacheron Constantin Overseas (Reference 47040/000A-9008). A stainless steel automatic wristwatch with date. 2018,"29,400 USD"
340,Vacheron Constantin,Vacheron Constantin Overseas (Reference 49150/000A-9745). A stainless steel automatic wristwatch with date and chronograph.,"29,600 USD"
341,Vacheron Constantin,Vacheron Constantin Overseas (Reference 49150/000A-9745). A stainless steel automatic wristwatch with date and chronograph.,"28,900 USD"
342,Rolex,Rolex President Day Date (Reference 118135). A rose gold diamond-set automatic wristwatch with date and day. 2014,"30,800 USD"
343,Vacheron Constantin,Vacheron Constantin Overseas (Reference 4500V/000M-B127). A rose gold and stainless steel automatic wristwatch with date. 2017,"31,300 USD"
344,Vacheron Constantin,Vacheron Constantin Overseas (Reference 47040/000R-9666). A rose gold automatic wristwatch with date. 2014,"32,900 USD"
345,Hermès,"Cape Cod Reference CC1.810, a stainless steel quartz wristwatch, circa 2021","2,500 USD"
346,Audemars Piguet,"Audemars Piguet Royal Oak (Reference 26120OR). A rose gold automatic wristwatch with date, power reserve and dual time.","35,600 USD"
347,Vacheron Constantin,Vacheron Constantin Overseas (Reference 5500V/110A-B148). A stainless steel automatic wristwatch with date and chronograph. 2019,"36,600 USD"
348,Rolex,Rolex Yachtmaster (Reference 268655). A rose gold diamond-set automatic wristwatch with date.,"37,000 USD"
349,Vacheron Constantin,Vacheron Constantin Overseas (Reference 4500V/000R-B127). A rose gold automatic wristwatch with date.,"37,100 USD"
350,Rolex,Rolex President Day-Date (Reference 18038). A yellow gold diamond-set automatic wristwatch with day and date. 1986-1987.,"21,800 USD"
351,Rolex,"Rolex Sky-Dweller (Reference 326238). A yellow gold automatic wristwatch with date, dual time zone and annual calendar.","36,800 USD"
352,Vacheron Constantin,Vacheron Constantin Overseas (Reference 4500V/000R-B127). An unworn rose gold automatic wristwatch with date. 2021,"39,100 USD"
353,Rolex,Rolex President Day-Date (Reference 228238). A yellow gold automatic wristwatch with day and date.,"43,200 USD"
354,Rolex,Rolex President Day-Date (Reference 118388). A yellow gold diamond-set automatic wristwatch with day and date. 2010,"44,100 USD"
355,Audemars Piguet,Audemars Piguet Royal Oak (Reference 15000TR). A rose gold and tantalum automatic wristwatch with date.,"47,000 USD"
356,Rolex,Rolex Yacht-Master (Reference 116655). A rose gold diamond-set automatic wristwatch with date. 2018.,"50,600 USD"
357,Vacheron Constantin,"Vacheron Constantin Traditionnelle (Reference 47292/000R-9392). A rose gold manual wind wristwatch with date, day, month, chronograph, moonphase, and perpertual calendar. 2020.","59,800 USD"
358,Rolex,Rolex President Day-Date II (Reference 218238). A yellow gold automatic wristwatch with date and day.,"41,800 USD"
359,Rolex,Rolex President Day-Date (Reference 128239). A white gold diamond set automatic wristwatch with date and day. 2019.,"59,100 USD"
360,Rolex,Rolex President Day-Date II (Reference 218206). A platinum automatic wristwatch with date and day. 2014.,"60,700 USD"
361,Rolex,Rolex Pearlmaster (Reference 80315). A rose gold diamond-set automatic wristwatch with date. 2011,"20,700 USD"
362,Rolex,Rolex Pearlmaster (Reference 81318). A yellow gold diamond-set automatic wristwatch with date. 1991-1992,"30,800 USD"
363,Rolex,Rolex Pearlmaster (Reference 81209). A white gold automatic wristwatch with date. 2001-2002,"22,800 USD"
364,Rolex,Rolex Pearlmaster (Reference 81315). A rose gold diamond-set automatic wristwatch with date.,"28,800 USD"
365,Rolex,Rolex Pearlmaster Meteorite Dial (Reference 81339). A white gold diamond-set automatic wristwatch with date. 2001-2002,"30,500 USD"
366,Rolex,Rolex Pearlmaster (Reference 81339). A white gold diamond-set automatic wristwatch with date. 2007-2008,"31,900 USD"
367,Rolex,Rolex Pearlmaster (Reference 81339). A white gold diamond-set automatic wristwatch with date. 2013,"33,900 USD"
368,Rolex,Rolex Daytona (Reference 116503). A yellow gold and stainless steel automatic wristwatch with chronograph. 2019,"22,800 USD"
369,Rolex,Rolex Daytona (Reference 116503). A yellow gold and stainless steel automatic wristwatch with chronograph. 2019,"22,800 USD"
370,Rolex,Rolex GMT Master II (Reference 16718). A yellow gold automatic wristwatch with date. 1991,"28,800 USD"
371,Rolex,Rolex Daytona Zenith Inverted 6 (Reference 16523). A yellow gold and stainless steel automatic wristwatch with chronograph. 1991-1992,"29,800 USD"
372,Rolex,Rolex Daytona (Reference 116503). A yellow gold and stainless steel diamond-set automatic wristwatch with chronograph. 2018,"32,900 USD"
373,Rolex,Rolex Datejust (Reference 278275). A rose gold diamond-set automatic wristwatch with date.,"39,000 USD"
374,Rolex,Rolex Datejust (Reference 278278). An unworn yellow gold automatic wristwatch with date. 2023.,"39,100 USD"
375,Rolex,Rolex Daytona (Reference 16528). A yellow gold automatic wristwatch with chronograph.,"39,800 USD"
376,Rolex,Rolex President Day-Date (Reference 118346). A platinum diamond-set automatic wristwatch with date and day. 2000-2001,"40,100 USD"
377,Rolex,Rolex President Day-Date (Reference 128349). A white gold diamond set automatic wristwatch with date and day. 2021.,"41,200 USD"
378,Rolex,Rolex President Day-Date (Reference 118399). A white gold diamond-set automatic wristwatch with day and date.,"39,100 USD"
379,Patek Philippe,Patek Philippe Gondolo (Reference 7041R-001). A rose gold diamond-set manual wind wristwatch. 2007,"29,800 USD"
380,Patek Philippe,Patek Philippe Calatrava (Reference 5153G). A white gold automatic wristwatch with date. 2016,"29,800 USD"
381,Patek Philippe,Patek Philippe Calatrava (Reference 6119G-001). A white gold manual wristwatch.,"29,500 USD"
382,A. Lange & Söhne,A. Lange & Söhne Lange 1 (Reference 101.039). A white gold manual wristwatch with date.,"28,900 USD"
383,Patek Philippe,Patek Philippe Calatrava (Reference 4934G-001). A white gold diamond-set manual wind wristwatch with travel time.,"28,900 USD"
384,Patek Philippe,Patek Philippe Gondolo (Referece 7041R-001). A rose gold diamond-set manual wind wristwatch.,"28,000 USD"
385,A. Lange & Söhne,A. Lange & Söhne 1815 (Reference 233.025). A platinum manual wristwatch.,"28,000 USD"
386,A. Lange & Söhne,A. Lange & Söhne Saxonia (Reference 842.032). A rose gold diamond-set automatic wristwatch.,"27,000 USD"
387,Patek Philippe,Patek Philippe Calatrava (Reference 5296G). A white gold automatic wristwatch with date. 2018,"26,500 USD"
388,Patek Philippe,Patek Philippe Gondolo (Reference 5112G). A white gold diamond-set manual wind wristwatch.,"22,800 USD"
389,Patek Philippe,Patek Philippe Calatrava (Reference 4897G). A white gold diamond-set manual wind wristwatch. 2014,"22,800 USD"
390,Patek Philippe,Patek Philippe Calatrava Officer (Reference 5053R-001). A rose gold automatic wristwatch with date.,"22,500 USD"
391,Patek Philippe,Patek Philippe Calatrava (Reference 4897G-001). A white gold diamond-set manual wind wristwatch.,"21,800 USD"
392,Patek Philippe,Patek Philippe Calatrava (Reference 5117G-001). A white gold automatic wristwatch with date.,"21,400 USD"
393,Patek Philippe,Patek Philippe Gondolo (Reference 5025G). A white gold diamond-set manual wristwatch.,"20,700 USD"
394,Patek Philippe,Patek Philippe Calatrava (Reference 7122/200G). A white gold diamond-set manual wind wristwatch. 2017,"20,700 USD"
395,Patek Philippe,Patek Philippe Calatrava (Reference 5115R-001). A rose gold manual wind wristwatch.,"20,400 USD"
396,Patek Philippe,"Patek Philippe Neptune (Reference 5085A/1A-001). A stainless steel automatic wristwatch with date, moonphase and power reserve. 2005","30,500 USD"
397,Patek Philippe,Patek Philippe Calatrava (Reference 570). A white gold vintage manual wind wristwatch. 1966,"29,300 USD"
398,Patek Philippe,Patek Philippe Calatrava (Reference 5153J-001). A yellow gold automatic wristwatch with date. 2020,"27,600 USD"
399,A. Lange & Söhne,A. Lange & Söhne Grand Lange 1 (Reference 115.028). A white gold manual wind wristwatch with date.,"32,900 USD"
400,A. Lange & Söhne,A. Lange & Söhne Lange 1 (Reference 101.025). A platinum manual wind wristwatch with date and moonphase.,"34,700 USD"
401,Patek Philippe,Patek Philippe Calatrava (Reference 6119R-001). A rose gold manual wind wristwatch. 2022,"36,000 USD"
402,Patek Philippe,"Patek Philippe Calatrava ""New York"" Pilot Limited Edition (Reference 5522A-001). A stainless steel automatic wristwatch. 2017","47,900 USD"
403,Patek Philippe,"Patek Philippe Calatrava Cortina (Reference 5057G-010). A white gold automatic wristwatch with date, moonphase and power reserve. 2022","50,900 USD"
404,Audemars Piguet,Audemars Piguet Royal Oak Nick Faldo Limited Edition (Reference 15190SP). A platinum bezel and stainless steel case and bracelet automatic wristwatch with date.,"28,800 USD"
405,Rolex,Rolex Daytona (Reference 16528). A yellow gold diamond-set automatic wristwatch with chronograph. 1989-1990,"38,800 USD"
406,Omega,Omega Speedmaster Moonwatch Jubilee 27 (Reference 3191.50). A yellow gold manual wristwatch with chronograph. 1992,"31,300 USD"
407,Rolex,Rolex Yacht-Master (Reference 268655). A rose gold automatic wristwatch with date. 2019,"24,700 USD"
408,Patek Philippe,"Patek Philippe Complications (Reference 5035G). A white gold automatic wristwatch date, day, month and annual calendar.","25,800 USD"
409,Patek Philippe,Patek Philippe Complications (Reference 5015G-001). A white gold automatic wristwatch with moonphase and power reserve.,"25,200 USD"
410,Patek Philippe,"Patek Philippe Grand Complications (Reference 5140R-001). A rose gold automatic wristwatch with date, day, month, moonphase, leap year and perpetual calendar.","48,900 USD"
411,Cartier,Cartier Tortue (Reference WA501009). A white gold diamond-set manual wind wristwatch. 2018.,"23,400 USD"
412,Cartier,Cartier Hypnose (Reference WJHY0006). A rose gold diamond set quartz wristwatch. 2016,"22,800 USD"
413,Cartier,Cartier Ronde Louis (Reference WR007004). A white gold diamond-set manual wind wristwatch.,"24,500 USD"
414,Cartier,Cartier Ballon Bleu (Reference W69006Z2). A rose gold automatic wristwatch with date. 2016,"24,600 USD"
415,Cartier,"Cartier Tortue (Reference W1580045). A rose gold automatic wristwatch with date, day, month, leap year and perpetual calendar.","32,900 USD"
416,Cartier,"Cartier Tortue (Reference WA501011), a white gold diamond-set manual wind wristwatch.","24,900 USD"
417,Omega,Omega — Limited Edition Set of Five Omega Speedmaster Watches — Tokyo Olympics 2020 (Reference 522.20.42.30.06.001). Stainless steel manual wind wristwatches with chronographs. Unworn. 2018,"58,100 USD"
418,Audemars Piguet,"Audemars Piguet Royal Oak (Reference 26120OR). A rose gold automatic wristwatch with date, dual time, power reserve and day/night indicator. 2001-2007","35,600 USD"
419,Patek Philippe,"Patek Philippe Tiffany Annual Calendar (Reference 5150J). A yellow gold automatic wristwatch with day, date, month, and moonphase. 2001.","69,900 USD"
420,Patek Philippe,"Patek Philippe Annual Calendar Tiffany Limited Edition (Reference 5150G). A white gold automatic wristwatch with day, date, month, and moonphase.","79,300 USD"
421,Patek Philippe,"Patek Philippe Complications Annual Calendar (Reference 5205G-010). A white gold automatic wristwatch with day, date, month, and moonphase.","36,000 USD"
422,Patek Philippe,"Patek Philippe Complications Annual Calendar (Reference 5396G-011). A white gold automatic wristwatch with day, date, month, and moonphase.","35,700 USD"
423,A. Lange & Söhne,A. Lange & Söhne Datograph Up/Down (Reference 405.035). A platinum manual wind wristwatch with date and chronograph. 2017,"81,600 USD"
424,A. Lange & Söhne,A. Lange & Söhne Datograph (Reference 403.032). A rose gold manual wind wristwatch with date and chronograph.,"72,400 USD"
425,A. Lange & Söhne,A. Lange & Söhne Grand Lange 1 (Reference 139.032). A rose gold manual wind wristwatch with date and moonphase. 2018.,"43,000 USD"
426,A. Lange & Söhne,A. Lange & Söhne Lange 1 (Reference 139.032). A rose gold manual wind wristwatch with date and moonphase. 2015,"41,200 USD"
427,A. Lange & Söhne,"A. Lange & Söhne Saxonia Annual Calendar (Reference 330.032). A rose gold manual wristwatch with date, day, month, moonphase. 2013","40,900 USD"
428,A. Lange & Söhne,A. Lange & Söhne Grand Lange 1 (Reference 117.028). A white gold manual wind wristwatch with date and power reserve.,"30,400 USD"
429,A. Lange & Söhne,A. Lange & Söhne 1815 (Reference 233.025). A platinum manual wind wristwatch. 2013,"30,300 USD"
430,A. Lange & Söhne,A. Lange & Söhne Richard Lange (Reference 232.021). A yellow gold manual wind wristwatch. 2012,"24,700 USD"
431,Audemars Piguet,Audemars Piguet Royal Oak Offshore (Reference 26062PT.OO.A002CA.01). A platinum automatic wristwatch with chronograph.,"58,100 USD"
432,Patek Philippe,Patek Philippe Nautilus (Reference 7118/1A -010). A stainless steel automatic wristwatch with date. 2020,"64,200 USD"
433,Patek Philippe,Patek Philippe Aquanaut (Reference 5167/1A-001). A stainless steel automatic wristwatch with date. 2013,"66,100 USD"
434,Rolex,Rolex Daytona (Reference 116520). A stainless steel automatic wristwatch with chronograph.,"22,800 USD"
435,Patek Philippe,Patek Philippe Nautilus (Reference 3800/1). A stainless steel automatic wristwatch with date.,"66,300 USD"
436,Audemars Piguet,Audemars Piguet Royal Oak (Reference 26331OR.OO.D821CR.01). A rose gold automatic wristwatch with date and chronograph.,"69,300 USD"
437,Audemars Piguet,Audemars Piguet Royal Oak Offshore (Reference 26470OR.OO.1000OR.01). A rose gold automatic wristwatch with date and chronograph.,"70,300 USD"
438,Rolex,Rolex Day-Date (Reference 228349). A white gold diamond-set automatic wristwatch with day and date. 2021,"58,100 USD"
